"","idx","script","speaker","time_from","time_to"
"251","298","저 아저씨처럼 된다, 응? ",NA,"00:18:00,375","00:18:02,375"
"252","298","손님, 나오세요","팀장","00:18:00,375","00:18:02,375"
"253","299","우리 엄마가 그렇게 말하는 사람은",NA,"00:18:02,541","00:18:04,666"
"254","300","나쁜 사람이랬는데 ",NA,"00:18:04,750","00:18:06,458"
"255","300","손님!","팀장","00:18:04,750","00:18:06,458"
"256","301","나오세요","팀장","00:18:06,541","00:18:07,625"
"257","302","너희 엄마가 공부 열심히 안 하셨나 보다, 야",NA,"00:18:07,708","00:18:10,416"
"258","303","손님, 여기서 이러지 마시고","팀장","00:18:10,750","00:18:12,458"
"259","304","일단 나오세요","팀장","00:18:13,208","00:18:14,583"
"260","305","뒤로 이동할게요","팀장","00:18:14,666","00:18:15,541"
"261","306","아, 진짜","팀장","00:18:18,541","00:18:20,125"
"262","309","으씨, 미친년",NA,"00:18:28,500","00:18:30,000"
"263","310","아, 흐윽","소녀","00:18:30,500","00:18:31,708"
"264","311","흐윽",NA,"00:18:32,208","00:18:33,083"
"265","313","윽",NA,"00:18:34,500","00:18:35,375"
"266","315","급해?",NA,"00:18:51,208","00:18:52,125"
"267","316","여기는 안에 두 명이 싸고 있어서 오래 걸리니까",NA,"00:18:53,958","00:18:56,541"
"268","317","어, 저기 저기 저쪽 화장실로 가",NA,"00:18:56,625","00:18:58,875"
"269","318","얼른",NA,"00:18:59,333","00:19:00,333"
"270","319","시간 좀 걸릴 것 같은데",NA,"00:19:03,375","00:19:04,833"
"271","320","자기야, 어떻게 잘 되고 있어요?",NA,"00:19:05,750","00:19:08,458"
"272","322","어, 아니, 어, 미안 알았어, 미안해",NA,"00:19:09,791","00:19:11,875"
"273","323","어, 미안 편하게 해, 편하게",NA,"00:19:11,958","00:19:14,041"
"274","324","저리로 가, 저리, 얼른","상화","00:19:14,125","00:19:15,583"
"275","325","어, 편하게 해, 편하게 갔어, 갔어",NA,"00:19:17,375","00:19:19,833"
"276","326","응, 편하게 해","상화","00:19:19,916","00:19:21,083"
"277","329","손님!","민지","00:19:29,750","00:19:30,875"
"278","330","손님, 괜찮으세요?",NA,"00:19:30,958","00:19:32,500"
"279","331","손님!","민지","00:19:32,583","00:19:33,791"
"280","332","어, 어떡해!",NA,"00:19:33,875","00:19:34,833"
"281","333","팀장님, 여기 11호 차 응급 환자 발생했습니다",NA,"00:19:35,583","00:19:38,333"
"282","334","팀장님!",NA,"00:19:38,958","00:19:40,208"
"283","336","여보세요? ","김 대리","00:19:53,750","00:19:55,333"
"284","336","어, 김 대리",NA,"00:19:53,750","00:19:55,333"
"285","337","팀장님, 이거 생각보다 심각한데요?","김 대리","00:19:55,416","00:19:57,958"
"286","338","그 밤사이 벌어진 게 안산만이 아니에요",NA,"00:19:58,125","00:20:00,125"
"287","339","어, 그러니까 뭐가 뭔지 모르겠는데",NA,"00:20:00,541","00:20:02,958"
"288","340","아무튼 단순 시위가 아니에요",NA,"00:20:03,291","00:20:04,916"
"289","341","전국적 폭동이라고도 하고 있고요",NA,"00:20:05,041","00:20:07,041"
"290","342","호흡은요? ","팀장","00:20:07,125","00:20:08,625"
"291","342","여보세요?","김 대리","00:20:07,125","00:20:08,625"
"292","343","그 사람 호흡은 어때요?","팀장","00:20:08,708","00:20:09,833"
"293","344","이게 숨은 쉬는데요 ","민지","00:20:09,916","00:20:11,458"
"294","344","듣고 계세요?","김 대리","00:20:09,916","00:20:11,458"
